time,open,high,low,close,EMA Fast,EMA Slow,EMA Trend,BB Upper,BB Lower,SAR,FVG Long,Multi-TF FVG Long,Long,Grid Arb,Volume
1760655600,183.13,183.77,182.97,183.15,183.79489533071552,184.18891234039413,185.2184039159834,184.54350000000338,183.132127974328,185.0499054265881,0,0,0,0,4490.515
1760655900,183.16,183.45,183.08,183.26,183.67602970166763,184.09113209403685,185.14160376241543,184.49000000000336,182.97313481322078,184.80031677539753,0,0,0,0,2643.99
1760656200,183.27,183.8,183.23,183.48,183.6324675457415,184.0268023999277,185.076442830556,184.42450000000338,182.8529596744404,184.58067876234983,0,0,0,0,3759.773
1760656500,183.5,184.13,183.5,184.13,183.7430303133545,184.03766530519846,185.03932742543617,184.39350000000337,182.82440758880279,184.38739731086784,0,0,0,0,3344.561
1760656800,184.12,185.16,184.02,185.13,184.0512457992757,184.15264790465125,185.04288321267396,184.40900000000337,182.81739829264924,182.97,0,0,0,0,10134.391
1760657100,185.14,185.18,184.38,184.7,184.19541339943666,184.21026391468794,185.02943681217693,184.39100000000334,182.8212624439416,183.00285,0,0,0,0,6421.78
1760657400,184.68,184.85,184.36,184.58,184.28087708845075,184.24918350261552,185.01181183915037,184.35650000000334,182.83599646665007,183.0681645,0,0,0,0,3814.237
1760657700,184.56,184.69,183.84,184.05,184.22957106879502,184.22821681812968,184.97409372781115,184.27600000000336,182.8742239854792,183.131519565,0,0,0,0,4775.014
1760658000,184.06,184.51,184.06,184.29,184.2429997201739,184.23472031095812,184.94726652279894,184.19950000000335,182.98920293113056,183.19297397805,0,0,0,0,3248.897
1760658300,184.28,184.91,184.27,184.46,184.2912220045797,184.25843396243621,184.9281580317088,184.16900000000336,183.01873220730423,183.25258475870848,0,0,0,0,2944.704
1760658600,184.44,184.71,184.27,184.51,184.33983933689532,184.28491459796925,184.91175967752415,184.16550000000336,183.01983905760292,183.31040721594724,0,0,0,0,1981.82
1760658900,184.5,184.88,184.4,184.85,184.4532083731408,184.34439727186722,184.90933772938595,184.17950000000334,183.00786055248625,183.3664949994688,0,0,0,0,3474.462
1760659200,184.84,185.16,184.29,185.11,184.5991620679984,184.4249870327233,184.9172068380375,184.19900000000334,182.980002052924,183.42090014948474,0,0,0,0,3681.094
1760659500,185.12,185.48,184.6,185.48,184.79490383066542,184.53604102927875,184.93927715811444,184.23500000000334,182.91362950124625,183.4736731450002,0,0,0,0,2546.567
1760659800,185.46,185.67,185.22,185.58,184.96936964607312,184.6459314472494,184.96440354407073,184.30400000000333,182.8588231959344,183.5639578534752,0,0,0,0,4450.019
1760660100,185.59,185.6,185.25,185.34,185.05173194694575,184.71899129490737,184.97913281685229,184.33450000000335,182.83011341572174,183.69032038226666,0,0,0,0,2670.345
1760660400,185.33,185.76,185.05,185.49,185.14912484762448,184.80015010596975,184.99916682403455,184.41100000000333,182.83659344672046,183.80910115933065,0,0,0,0,12549.62
1760660700,185.48,185.74,185.35,185.68,185.26709710370793,184.89276588428874,185.02586616426848,184.50200000000333,182.85670853797822,183.95541857238086,0,0,0,0,2395.232
1760661000,185.66,186.07,185.31,185.96,185.42107552510618,185.0051063175215,185.06249886370892,184.61850000000334,182.90801147474733,184.0907621794523,0,0,0,0,3703.057
1760661300,185.98,186.28,185.86,186.13,185.5786142973048,185.12351617883502,185.1043616533674,184.76800000000333,183.07799881803385,184.2688935833016,0,0,0,0,3164.583
1760661600,186.16,186.47,185.93,185.94,185.65892223123706,185.2094618442208,185.13713178460787,184.90750000000332,183.3170928209945,184.48005975705493,0,0,0,0,2567.213
1760661900,185.93,185.96,185.57,185.7,185.6680506242955,185.261097439566,185.1592050479566,185.02950000000334,183.59680359286824,184.71885258620833,0,0,0,0,2254.922
1760662200,185.69,185.88,185.18,185.85,185.7084838188965,185.32308718276957,185.18629504607594,185.14800000000332,183.86312491073105,184.92899027586333,0,0,0,0,2805.523
1760662500,185.86,186.3,185.64,186.3,185.83993185914173,185.42592011089909,185.22996975015138,185.2565000000033,183.96732545981277,185.11391144275973,0,0,0,0,2329.905
1760662800,186.32,187.22,185.92,187.18,186.13772477933244,185.6105600992255,185.30644152465524,185.35900000000333,183.8238400750989,185.18,0,0,0,0,8174.963
1760663100,187.2,187.57,186.83,186.9,186.30711927281413,185.74629061509648,185.36893401388446,185.46900000000332,183.82692935747107,185.4554,0,0,0,0,7231.906
1760663400,186.91,187.19,186.51,186.76,186.407759434411,185.85299686613897,185.4234856211831,185.57800000000333,183.89748103401809,185.77259,0,0,0,0,3608.13
1760663700,186.77,187.16,186.29,186.4,186.406035115653,185.9105761433875,185.46178030270534,185.6955000000033,184.13437893004914,186.0422015,0,0,0,0,4981.468
1760664000,186.36,186.39,185.87,186.11,186.34024953439678,185.93156812829406,185.4872006829914,185.78650000000331,184.35707669144568,187.57,0,0,0,0,2935.733
1760664300,186.12,186.35,185.87,186.33,186.33797186008638,185.97350832531575,185.5202516365996,185.88000000000335,184.5702519345254,187.5445,0,0,0,0,2635.884
1760664600,186.34,186.66,185.95,185.98,186.25842255784497,185.97419165949304,185.53828098418393,185.95350000000332,184.80439121705055,187.5193825,0,0,0,0,2635.279
1760664900,185.99,185.99,185.58,185.8,186.15655087832386,185.95585569533588,185.54854447500026,186.00100000000333,184.96533789533987,187.4946417625,0,0,0,0,2311.803
1760665200,185.81,185.82,185.44,185.66,186.04620623869633,185.92471299056368,185.5529152799022,186.0285000000033,185.06203686305977,187.437202509625,0,0,0,0,2386.797
1760665500,185.68,185.91,185.46,185.87,186.00704929676382,185.9189537283991,185.56534997480802,186.0480000000033,185.11131222113906,187.34732839669186,0,0,0,0,1957.374
1760665800,185.87,185.9,184.89,184.96,185.77437167526077,185.81801123067288,185.54161076010965,186.0170000000033,184.98429288029732,187.26149861884073,0,0,0,0,5614.993
1760666100,184.89,185.72,184.8,185.66,185.74895574742504,185.8013784695494,185.54625347539945,186.03300000000328,185.0333580665586,187.11920870171028,0,0,0,0,2898.655
1760666400,185.71,186.09,185.36,185.92,185.78696558133058,185.81386494643894,185.56091020185437,186.05450000000332,185.08443866427643,186.94526804908202,0,0,0,0,3601.084
1760666700,185.93,185.94,185.16,185.47,185.71652878547934,185.77766863628747,185.5573450958993,186.0440000000033,185.05361825791516,186.78437294540086,0,0,0,0,2561.495
1760667000,185.48,185.54,185.05,185.38,185.64174461092838,185.73580877983616,185.5503903862562,186.0150000000033,184.98337022385442,186.6355449744958,0,0,0,0,3901.592
1760667300,185.41,185.42,184.73,184.98,185.4946902529443,185.65624996090605,185.52802213581478,185.9575000000033,184.83382967689062,186.4978791014086,0,0,0,0,2635.792
1760667600,184.94,185.51,184.93,185.06,185.39809241895668,185.59348680712648,185.50966832656715,185.9135000000033,184.72357101259382,186.33876998228183,0,0,0,0,2050.845
1760667900,185.05,185.24,184.87,185.14,185.3407385480774,185.54575135374475,185.49517152944688,185.88550000000333,184.65126380097138,186.19398068387648,0,0,0,0,4581.381
1760668200,185.15,185.41,184.89,185.04,185.27390775961575,185.49251436914003,185.477321665547,185.8450000000033,184.5567841814926,186.06222242232758,0,0,0,0,2662.861
1760668500,185.06,185.99,185.06,185.95,185.42415047970113,185.54067075133582,185.49585807081968,185.8275000000033,184.55507122201712,184.73,0,0,0,0,5450.172
1760668800,185.8,186.69,185.79,186.52,185.6676725953231,185.6437580406689,185.53602049941497,185.7945000000033,184.6348539354393,184.7489,0,0,0,0,5986.374
1760669100,186.52,186.75,186.35,186.49,185.85041201858462,185.73283614165112,185.57343146022222,185.77400000000327,184.6806491893698,184.807133,0,0,0,0,2302.156
1760669400,186.48,186.82,186,186.82,186.06587601445472,185.84727444252994,185.6223165009978,185.77700000000328,184.67257073785473,184.894562015,0,0,0,0,2184.46
1760669700,186.8,187.38,186.68,186.78,186.2245702334648,185.94545608015835,185.66771585389986,185.7960000000033,184.63759765406317,185.0100882941,0,0,0,0,5821.832
1760670000,186.78,187.46,186.68,187.31,186.46577684825039,186.08909228224695,185.73211915374694,185.8560000000033,184.5270094074483,185.1878316720425,0,0,0,0,7203.7
1760670300,187.31,187.34,186.61,187.22,186.63338199308365,186.20813519990517,185.79046742222744,185.9005000000033,184.45638816393384,185.39232682155867,0,0,0,0,3726.51
1760670600,187.24,187.24,186.63,186.99,186.71263043906507,186.29043675780989,185.83750791547342,185.95100000000326,184.43067240532366,185.5784174076184,0,0,0,0,2402.393
1760670900,186.98,187.22,186.78,186.79,186.7298236748284,186.34302236225096,185.87486054623918,186.00050000000326,184.439148343536,185.74775984093273,0,0,0,0,2596.201
1760671200,186.76,187.28,186.44,186.78,186.74097396931097,186.38902000832982,185.91035621109253,186.05650000000327,184.4679122639553,185.9018614552488,0,0,0,0,4836.993
1760671500,186.76,186.93,186.62,186.76,186.74520197613074,186.4280705337688,185.94367557536341,186.10100000000327,184.48615759433693,186.0420939242764,0,0,0,0,3338.459
1760671800,186.74,187.09,186.55,186.9,186.77960153699058,186.47774731968786,185.9811784939766,186.19800000000328,184.6367876521372,186.16970547109153,0,0,0,0,4134.376
1760672100,186.91,187.01,186.45,186.59,186.73746786210378,186.48956339129967,186.005053847154,186.24450000000328,184.69479712683432,186.2858319786933,0,0,0,0,3720.626
1760672400,186.56,186.65,186.27,186.47,186.67803055941405,186.48750408695233,186.02328702961853,186.2720000000033,184.72679321931327,187.46,0,0,0,0,4419.999
1760672700,186.43,186.96,186.42,186.89,186.72513487954427,186.52987207779944,186.05727577355506,186.3430000000033,184.8214074148876,187.44215,0,0,0,0,2434.91
1760673000,186.84,186.99,186.47,186.99,186.7839937952011,186.57830659592582,186.09385319419997,186.42350000000326,184.94445605368952,187.42456775,0,0,0,0,2825.205
1760673300,186.98,187.28,186.98,187.08,186.84977295182307,186.63111642793362,186.13252561795684,186.52850000000328,185.1820487401603,187.40724923375,0,0,0,0,1826.199
